"City","Cidade"
"Country","País"
"Coupon Code","Código do Cupom"
"Custom Position","Posição Personalizada"
"Display City Field","Exibir Campo de Cidade"
"Display Country Dropdown","Exibir Seleção de País"
"Display Coupon Code Field","Exibir Campo de Código de Cupom"
"Display In","Exibir em"
"Display Include Cart Items Field","Exibir Campo para Incluir Itens do Carrinho"
"Display Region Field","Exibir Campo de Região"
"Display Zip/Postal Code Field","Exibir Campo de CEP/Código Postal"
"Enable Product Page Shipping","Habilitar Módulo Product Page Shipping"
"Enter your destination to get a shipping estimate.","Informe o endereço de entrega, para calcular o frete."
"Estimate Shipping","Calcule o Frete"
"Get a Quote","Calcular"
"Incl. Tax","Incl. Impostos"
"Include Cart Items","Incluir Itens do Carrinho"
"Include Cart Items by Default","Incluir Itens do Carrinho por Padrão"
"Left Column","Coluna Esquerda"
"Loading rates...","Calculando o frete..."
"No","Não"
"Please select an option","Por favor, selecione uma opção"
"Please specify a country","Por favor, informe o país"
"Please specify a valid product","Por favor, selecione um produto válido"
"Position of the block depends on your theme layout","A posição do bloco depende do layout do theme"
"Product Page Shipping","Product Page Shipping"
"Product Page Shipping Settings","Product Page Shipping - Configurações"
"Right Column","Coluna Direita"
"Shipping Rates","Despesas de Envio"
"State/Province","Estado"
"There was an error during processing your shipping request","Ocorreu um erro durante sua solicitação"
"Yes","Sim"
"Zip/Postal Code","CEP"